,,,,,,,,,,
,MISSISSIPPI STATE (H) VS NORTHWESTERN (A),,,,,,,,,
,NETWORK - ESPN2,,,,,,,,,
,11/19/2022 | 1:00 PM EST,,,,,,,,,
,"MOHEGAN SUN ARENA | UNCASVILLE, CT",,,,,,,,,
,RUN OF SHOW - DRAFT (as of 11/18),,,,,,,,,
,PRE-GAME,,,,,,,,,
,(14:30),,17B,BHOF Enshrinement Recap Video,BHOF Enshrinement Recap Video,BHOF Graphic,BHOF Graphic,Video,,BHOF Graphic
,(10:15),,17C,Dress and Dribble,Live Shots,BHOF Graphic,BHOF Graphic,PA Read and Ad Lib,,BHOF Graphic
,(8:15),,17D,Tickets4Less Commcercial Spot (:30),Tickets4Less Spot,BHOF Graphic,BHOF Graphic,Video,,BHOF Graphic
,(7:45),,17E,BHOF Commercial Spot (:30),BHOF Spot,BHOF Graphic,BHOF Graphic,Video,,BHOF Graphic
,(7:15),,17F,DJ Music Set,Live Shots,BHOF Graphic,BHOF Graphic,DJ: Music,,BHOF Graphic
,(3:30),,17G,Teams Return to Court ,Live Shots,BHOF Graphic,BHOF Graphic,DJ: Music,,BHOF Graphic
,(1:00),,17H,PA: Halftime Score Update,BHOF Graphic,BHOF Graphic,BHOF Graphic,PA Mic,,BHOF Graphic
,(0:00),,17I,Blow-Off: Second Half Begins,Matchup Graphic,BHOF Graphic,BHOF Graphic,DJ: Hype Music,,BHOF Graphic
,2ND HALF,,#,ELEMENT,CENTERHUNG,COURTSIDE - CENTER,RIBBONS,AUDIO,NOTES OR LIGHTS,COURTSIDE
,2:1 (Under 16:00),,18,PA Read for Second Game,Next Game Matchup Graphic,BHOF Graphic,BHOF Graphic,PA Read,,BHOF Graphic
,,,,DJ Music Set,Live Shots,BHOF Graphic,BHOF Graphic,DJ: Music,,BHOF Graphic
,,,,Game Play Resumes,Sponsor Rotation,Sponsor Rotation,Sponsor Rotation ,,,Continental
,2:2 (Under 12:00),,19,PA Read for BHOF Philanthropy (:30),BHOF Philanthrophy Graphic,BHOF Graphic,BHOF Graphic,PA Read,,BHOF Graphic
,,,,DJ Music Set,Matchup Graphic,BHOF Graphic,BHOF Graphic,DJ: Music,,BHOF Graphic
,,,,Game Play Resumes,Sponsor Rotation,Sponsor Rotation,Sponsor Rotation ,,,Continental
,2:3 (Under 8:00),,20,Sing Along Cam,Live Shots,BHOF Graphic,BHOF Graphic,PA Read / DJ: Sing A Long Song,,BHOF Graphic
,,,,DJ Music Set,Live Shots,BHOF Graphic,BHOF Graphic,DJ: Music,,BHOF Graphic
,,,,Game Play Resumes,Sponsor Rotation,Sponsor Rotation,Sponsor Rotation ,,,Continental
,2:4 (Under 4:00),,21,PA Read for Connecticut Suns,CT Sun Graphic,BHOF Graphic,BHOF Graphic,PA Read,,BHOF Graphic
,,,22,Flex Cam,Live Shots,BHOF Graphic,BHOF Graphic,PA Read / Ad Lib,,BHOF Graphic
,,,,DJ Music Set,Matchup Graphic,BHOF Graphic,BHOF Graphic,DJ: Music,,BHOF Graphic
,,,,Game Play Resumes,Sponsor Rotation,Sponsor Rotation,Sponsor Rotation ,,,Continental
,POST Game,,#,ELEMENT,CENTERHUNG,COURTSIDE - CENTER,RIBBONS,AUDIO,NOTES OR LIGHTS,
,,,23,PA: Final Score,Live Shots,BHOF Graphic,BHOF Graphic,PA Read,,BHOF Graphic
,,,24,PA: All-Tournament Team,Live Shots,BHOF Graphic,BHOF Graphic,PA Read,,BHOF Graphic
,,,25,Dan Gavitt Cup Intro,Live Shots,BHOF Graphic,BHOF Graphic,PA Read,,BHOF Graphic
,,,25,Dan Gavitt Cup Video,Gavitt Cup Video,BHOF Graphic,BHOF Graphic,Video,,BHOF Graphic
,,,26,PA: Championship Trophy Presentation,Live Shots,BHOF Graphic,BHOF Graphic,PA Mic,,BHOF Graphic
